Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,VI,WP_P3
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_189,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_190,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_191,10000,0.011535265433362345,0.011535265433362345,0.011535265666248873,0.01153526575529333,0.011535265755301343,0.011535265755301624,0.011535265768517492,,0.011535265710469438,0.011535253100407273,0.011535265755248351,0.011535265755301345,0.01153526579266878,,0.011535264909292565,0.01153517830218096
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_192,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_193,10000,0.1334654176608459,0.1334654176608459,0.13346541736888576,0.13346541767381118,0.13346541767380912,0.13346541767376224,0.13346541768848338,,0.13346541756007446,0.13346541576263574,0.1334654176738093,0.13346541767380912,0.13346541767378822,,0.13346541766850487,0.1334649223756343
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_194,10000,0.08951240176820457,0.08951240176820457,0.08951240164885359,0.08951240306164125,0.08951240306164031,0.0895124030616397,0.08951240306282167,,0.0895124030616014,0.0895124017924045,0.08951240306152179,0.08951240306164031,0.08951240308590579,,0.08951240282990466,0.08951217828054621
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_195,10000,0.008658267321654475,0.008658267321654475,0.008658267327714953,0.008658267328391667,0.00865826732839185,0.008658267328391787,0.008658267880534842,,0.008658267316986197,0.008658258903351874,0.008658267328391502,0.00865826732839187,0.0086582673283804,,0.008658267147145909,0.008658108536923103
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_196,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_197,10000,0.011349396756759191,0.011349396756759191,0.01134939681398612,0.011349396837185409,0.011349396837185284,0.011349396837185392,0.011349396839749419,,0.01134939682781609,,0.011349396837184042,0.011349396837185284,0.011349396837173656,,0.011349396772453843,0.011349334949931312
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_198,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_199,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_200,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
