Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_20,102,,,119,17,116,,,,47,39,85,72,138,138
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_21,102,,,113,13,79,,,,30,21,59,45,56,56
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_22,102,,,131,23,49,,,,38,23,73,55,74,74
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_23,102,,,153,38,102,,,,51,34,101,74,121,121
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_24,102,,,136,26,90,,,,39,28,75,56,109,109
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_25,102,,,395,162,460,,,,243,136,386,214,479,479
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_26,102,,,109,9,26,,,,22,17,59,53,59,59
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_27,102,,,132,22,77,,,,39,24,77,55,100,100
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_28,102,,,116,14,30,,,,25,18,51,42,51,51
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_29,102,,,120,15,30,,,,24,18,60,51,57,57
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_3,102,,,129,20,90,,,,33,21,77,61,115,115
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_30,102,,,125,18,77,,,,35,15,72,46,99,99
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_4,102,,,137,29,82,,,,35,27,84,70,109,109
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_5,102,,,126,21,37,,,,29,21,68,54,62,62
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_6,102,,,121,15,29,,,,23,15,53,41,50,50
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_7,102,,,142,32,105,,,,43,31,86,66,135,135
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_8,102,,,126,20,99,,,,39,24,71,51,119,119
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_9,102,,,123,18,77,,,,29,20,65,51,100,100
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_1,12,,,102,3,5,,,,4,4,6,6,8,8
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_10,12,,,1,1,3,,,,2,2,2,2,2,2
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_11,12,,,1,1,3,,,,2,2,4,4,4,4
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_12,12,,,1,1,4,,,,3,3,5,5,5,5
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_13,12,,,112,3,18,,,,15,4,20,8,22,22
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_14,12,,,107,3,12,,,,9,4,11,5,13,13
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_15,12,,,1,1,10,,,,8,3,5,5,5,5
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_16,12,,,1,1,3,,,,2,2,1,1,1,1
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_17,12,,,1,1,3,,,,2,2,5,5,5,5
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_18,12,,,1,1,3,,,,2,2,2,2,2,2
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_19,12,,,109,3,18,,,,15,4,21,7,21,21
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_2,12,,,106,2,10,,,,8,3,6,6,6,6
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_20,12,,,101,3,23,,,,21,4,8,8,8,8
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_21,12,,,122,5,4,,,,3,3,33,8,7,7
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_22,12,,,106,2,10,,,,8,3,5,5,5,5
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_23,12,,,171,15,4,,,,3,3,101,24,9,9
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_24,12,,,101,2,5,,,,3,3,6,6,6,6
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_25,12,,,106,3,12,,,,9,4,12,6,14,14
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_26,12,,,106,5,13,,,,10,6,13,9,15,15
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_27,12,,,102,3,4,,,,3,3,8,8,8,8
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_28,12,,,103,2,4,,,,3,3,5,5,5,5
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_29,12,,,105,3,7,,,,4,4,9,6,9,9
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_3,12,,,108,4,4,,,,3,3,13,8,8,8
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_30,12,,,104,2,4,,,,3,3,7,7,7,7
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_4,12,,,105,3,12,,,,10,4,14,8,16,16
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_5,12,,,101,3,7,,,,5,4,9,8,11,11
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_6,12,,,114,9,6,,,,4,4,24,16,10,10
